,id,Gender,Customer Type,Age,Price,NewUsed,Category,Product description accuracy,Manufacturer sustainability,Packaging quality,Additional options,Helpfulness of reviews and ratings,Integrity of packaging,Ease check-out procedure,Relevance of related products,Costumer insurance,Shipping delay in days,Arrival delay in days,Satisfaction
23,952Q570r,Female,Not Premium,26.0,83.77,New,Sport,3,3,2,4,1,2,4,3,2,1,0,Not Satisfied
24,822X672b,Male,Premium,33.0,94.54,New,Home/Kitchen,5,5,2,5,5,5,3,5,3,0,0,Satisfied
25,079E265e,Male,Premium,,40.14,New,Technology,3,3,4,3,2,4,3,4,4,0,0,Not Satisfied
26,656M341f,Male,Premium,48.0,219.04,New,Entertainment,5,5,5,4,4,4,5,4,5,0,0,Satisfied
27,222A247e,Female,Premium,27.0,59.68,New,Entertainment,4,5,3,5,4,5,5,4,3,0,0,Not Satisfied
28,693J467v,Female,Not Premium,26.0,111.61,New,Technology,1,1,3,3,2,5,5,5,3,1,1,Not Satisfied
29,887O389v,Male,Premium,54.0,75.38,New,Entertainment,2,3,3,4,2,4,1,4,3,0,0,Not Satisfied
30,439S300j,Female,Premium,41.0,32.79,New,Home/Kitchen,3,3,3,2,2,4,3,3,3,1,1,Not Satisfied
31,148R68t3,Male,Premium,56.0,236.38,New,Entertainment,5,2,5,2,2,2,3,2,3,0,0,Not Satisfied
32,833O903x,Male,Premium,23.0,255.58,New,Entertainment,0,3,3,5,4,1,3,4,3,0,0,Satisfied
33,576R242y,Male,Premium,,20.18,New,Entertainment,0,5,3,5,3,4,5,5,3,0,0,Not Satisfied
34,011A776y,Female,Premium,,158.74,New,Technology,1,3,2,4,1,3,4,3,2,0,0,Not Satisfied
35,341C820b,Female,Premium,55.0,368.2,New,Entertainment,5,5,3,5,5,5,3,5,4,0,0,Satisfied
36,374G598c,Female,Premium,51.0,33.78,New,Technology,1,1,4,5,3,2,1,3,4,0,0,Satisfied
37,209Q390s,Male,Premium,26.0,83.46,New,Home/Kitchen,1,1,1,1,3,3,2,4,1,0,0,Not Satisfied
38,620W289j,Male,Not Premium,,72.36,New,Technology,4,2,4,5,1,1,2,2,2,1,1,Not Satisfied
39,060A246e,Male,Premium,26.0,169.03,New,Technology,5,1,2,3,5,5,3,5,2,0,0,Not Satisfied
40,249V280j,Female,Premium,49.0,25.9,New,Entertainment,4,4,4,5,5,5,5,5,3,0,0,Satisfied
41,204O234a,Male,Not Premium,29.0,128.03,New,Entertainment,2,1,4,4,5,5,3,5,4,0,0,Not Satisfied
42,343I828f,Female,Not Premium,22.0,46.74,New,Entertainment,1,3,4,3,1,2,3,3,4,0,0,Not Satisfied
43,794R558d,Female,Premium,60.0,177.74,New,Technology,1,1,2,4,4,4,3,4,4,0,0,Satisfied
44,235I325m,Female,Premium,37.0,260.89,New,Technology,3,3,3,5,5,5,5,5,3,0,0,Satisfied
45,224Z453h,Female,Premium,22.0,8.14,New,Home/Kitchen,4,1,4,3,5,4,5,5,4,0,0,Not Satisfied
46,555Y788u,Male,Premium,41.0,57.69,New,Entertainment,3,3,3,4,4,4,4,4,5,1,1,Satisfied
47,140O923r,Male,Premium,57.0,208.06,New,Entertainment,4,4,2,4,4,4,2,4,3,0,0,Satisfied
48,850T843a,Female,Premium,60.0,147.16,New,Home/Kitchen,4,4,5,5,5,5,3,5,5,0,0,Satisfied
49,604Y531a,Female,Premium,59.0,7.65,New,Entertainment,3,3,1,2,2,4,3,4,1,0,0,Not Satisfied
50,269J479q,Male,Premium,35.0,337.07,New,Technology,4,4,3,4,4,4,4,4,3,0,0,Satisfied
51,460B700x,Male,Premium,49.0,155.25,New,Entertainment,3,4,2,1,4,1,2,1,2,0,0,Not Satisfied
52,926K92b5,Female,Premium,58.0,260.3,New,Home/Kitchen,1,1,4,5,5,5,5,5,3,0,0,Satisfied
53,697T144p,Female,Premium,51.0,23.64,New,Technology,1,1,5,1,1,3,1,2,5,0,0,Satisfied
54,148H942y,Female,Premium,27.0,341.73,New,Technology,4,3,2,1,1,2,1,3,2,0,0,Satisfied
55,417U667m,Male,Premium,37.0,32.8,New,Other,5,5,1,3,3,2,2,3,1,0,0,Not Satisfied
56,312W196w,Male,Premium,24.0,168.48,New,Technology,3,3,2,3,1,4,2,4,2,0,0,Not Satisfied
57,736P722z,Male,Premium,39.0,357.21,New,Other,5,5,5,5,5,5,5,5,4,0,0,Satisfied
58,821X500k,Male,Premium,49.0,129.72,New,Technology,3,3,3,5,5,5,5,5,2,0,0,Satisfied
59,606S270r,Female,Premium,57.0,407.81,New,Home/Kitchen,1,1,5,5,4,5,3,5,5,0,0,Satisfied
60,671G319g,Female,Premium,52.0,16.2,New,Technology,5,1,2,5,5,5,3,4,2,0,0,Not Satisfied
61,867P313c,Female,Premium,33.0,116.91,New,Entertainment,1,1,5,4,4,3,3,4,5,0,0,Not Satisfied
62,685N987e,Female,Not Premium,24.0,57.78,New,Home/Kitchen,5,4,2,3,4,5,4,2,2,0,0,Satisfied
63,107O544v,Female,Premium,,57.78,Used,Entertainment,4,4,5,3,4,4,3,4,5,0,0,Not Satisfied
64,409F192r,Female,Premium,41.0,252.16,New,Entertainment,3,3,5,4,4,4,3,4,5,0,0,Satisfied
65,298Z854t,Female,Premium,70.0,35.12,New,Home/Kitchen,3,3,3,4,4,4,5,4,3,0,0,Satisfied
66,652N73v2,Male,Premium,20.0,7.73,New,Other,5,4,5,5,2,5,4,4,5,0,0,Not Satisfied
67,548I987h,Male,Premium,50.0,134.56,New,Sport,2,2,2,4,4,4,1,4,1,0,0,Satisfied
68,704N137h,Female,Premium,28.0,359.52,New,Entertainment,3,3,4,2,2,2,4,1,4,2,2,Satisfied
69,271N756f,Male,Not Premium,35.0,70.43,New,Entertainment,3,3,1,3,2,3,5,4,1,0,0,Not Satisfied
70,240S501q,Female,Not Premium,45.0,119.35,New,Home/Kitchen,3,2,4,3,2,2,3,2,4,0,0,Not Satisfied
71,666G17x3,Female,Premium,36.0,86.41,New,Technology,4,1,3,5,5,5,4,5,3,0,0,Not Satisfied
72,383G108n,Male,Premium,51.0,121.27,New,Technology,5,5,5,2,2,2,4,2,4,0,0,Satisfied
73,836V943f,Female,Premium,67.0,72.1,New,Entertainment,3,2,3,3,2,3,3,3,4,0,0,Not Satisfied
74,141B822y,Female,Premium,58.0,148.23,New,Technology,5,5,5,4,4,4,4,4,4,0,0,Satisfied
75,234E845x,Male,Not Premium,,36.82,New,Entertainment,4,3,3,1,2,4,4,3,3,0,0,Not Satisfied
76,397V178a,Male,Premium,45.0,407.22,New,Technology,4,4,3,2,2,2,4,2,3,0,0,Not Satisfied
77,049Q739n,Male,Premium,38.0,212.09,New,Entertainment,1,1,4,4,2,3,5,1,4,0,0,Satisfied
78,577V253k,Female,Not Premium,21.0,38.56,New,Technology,4,4,4,3,3,3,2,1,4,0,0,Not Satisfied
79,459C225x,Female,Premium,31.0,171.38,New,Technology,1,1,4,5,3,4,4,4,4,0,0,Satisfied
80,093C821z,Female,Not Premium,27.0,125.05,New,Home/Kitchen,1,2,2,5,5,4,3,5,2,0,0,Not Satisfied
81,867M523d,Female,Premium,35.0,207.16,New,Technology,1,1,4,4,4,4,2,4,4,0,0,Satisfied
82,618Q14f1,Female,Premium,44.0,368.46,New,Technology,5,5,4,3,5,5,4,5,4,1,1,Satisfied
83,168P260z,Female,Not Premium,43.0,69.98,New,Entertainment,4,1,2,2,2,5,1,5,2,0,0,Not Satisfied
84,896I109o,Female,Premium,35.0,351.03,New,Technology,4,4,3,2,3,2,3,2,1,0,0,Not Satisfied
85,187U68u3,Male,Premium,56.0,143.8,New,Sport,2,2,2,3,2,3,4,3,4,0,0,Not Satisfied
86,238O36k1,Female,Premium,46.0,330.92,Used,Entertainment,5,1,5,1,1,1,1,1,1,0,0,Not Satisfied
87,610M870p,Female,Premium,31.0,89.66,New,Other,5,4,5,2,3,4,2,1,5,0,0,Not Satisfied
88,574D124r,Male,Not Premium,,106.92,New,Entertainment,2,4,5,2,5,3,3,3,5,0,0,Not Satisfied
89,958I717w,Male,Premium,39.0,241.73,New,Entertainment,4,2,5,4,5,4,4,5,5,0,0,Not Satisfied
90,863B590x,Female,Premium,,49.59,New,Entertainment,0,4,3,3,5,4,4,4,3,0,0,Not Satisfied
91,527L481l,Female,Premium,59.0,359.09,New,Home/Kitchen,4,4,3,5,5,5,3,5,4,1,1,Satisfied
92,752N923f,Male,Premium,44.0,86.22,New,Technology,3,3,2,1,4,3,2,3,2,3,3,Not Satisfied
93,045N748y,Male,Premium,26.0,122.81,New,Technology,5,1,1,3,2,4,5,5,1,0,0,Not Satisfied
94,873C488g,Male,Premium,58.0,403.75,New,Technology,5,5,2,4,4,4,4,4,3,0,0,Satisfied
95,728M483w,Male,Premium,26.0,35.17,New,Sport,5,1,4,5,2,4,5,5,4,0,0,Not Satisfied
96,876N179n,Male,Premium,69.0,158.38,New,Sport,2,2,3,4,4,4,1,4,4,0,0,Not Satisfied
97,474T933l,Male,Premium,63.0,50.14,New,Home/Kitchen,3,3,3,1,2,1,4,1,2,0,0,Not Satisfied
98,413Z667o,Male,Premium,49.0,261.72,New,Sport,4,4,3,4,4,4,5,4,5,0,0,Satisfied
99,306T93d2,Male,Premium,60.0,218.39,New,Home/Kitchen,2,2,5,4,4,4,3,4,4,0,0,Satisfied
100,008F163v,Female,Premium,28.0,260.6,New,Entertainment,4,4,4,4,5,4,1,3,4,0,0,Not Satisfied
101,067T6r21,Female,Premium,58.0,95.28,New,Entertainment,4,4,2,4,4,4,5,4,4,0,0,Satisfied
102,782Y66m3,Male,Premium,31.0,10.78,New,Entertainment,4,1,3,4,4,2,1,4,3,0,0,Not Satisfied
103,602N464w,Male,Premium,,39.85,New,Technology,2,2,4,3,2,5,4,5,4,0,0,Satisfied
104,024H994b,Male,Premium,46.0,47.48,New,Technology,5,4,3,5,4,5,1,5,3,0,0,Not Satisfied
105,579X196s,Male,Premium,30.0,38.6,New,Technology,2,3,4,4,3,3,2,3,4,0,0,Not Satisfied
106,959W622k,Male,Premium,59.0,52.85,Used,Technology,3,3,2,4,2,2,2,4,3,0,0,Not Satisfied
107,184O790b,Male,Premium,59.0,188.18,New,Technology,3,3,5,5,5,5,3,5,3,0,0,Satisfied
108,010D43e5,Male,Premium,51.0,15.05,New,Sport,2,3,3,3,4,5,2,3,4,0,0,Not Satisfied
109,739A527x,Male,Premium,72.0,292.26,New,Sport,5,5,5,2,2,2,5,2,5,0,0,Satisfied
110,835K887q,Male,Not Premium,36.0,33.34,New,Entertainment,3,2,4,4,4,5,5,1,4,0,0,Not Satisfied
111,865M9q49,Female,Premium,60.0,169.14,New,Entertainment,2,2,4,3,5,4,1,4,4,0,0,Not Satisfied
112,046M438g,Female,Premium,29.0,251.05,New,Technology,4,1,2,5,4,4,5,5,2,0,0,Satisfied
113,607L366h,Male,Premium,34.0,183.89,New,Home/Kitchen,4,4,5,4,4,4,5,4,3,0,0,Satisfied
114,729J422v,Male,Premium,,302.82,New,Entertainment,5,5,5,3,5,5,5,5,5,0,0,Satisfied
115,165P886t,Male,Premium,55.0,194.31,New,Sport,2,2,2,1,1,1,4,1,1,0,0,Not Satisfied
116,633V318b,Female,Premium,28.0,246.54,New,Entertainment,3,3,4,3,2,3,3,2,4,0,0,Satisfied
117,410N990v,Male,Premium,49.0,90.07,New,Technology,5,5,2,5,5,5,5,5,3,0,0,Satisfied
118,162F835o,Male,Premium,59.0,88.6,Used,Sport,2,2,2,5,4,5,4,5,4,0,0,Not Satisfied
119,669U599c,Female,Not Premium,40.0,93.69,New,Entertainment,2,3,2,2,2,3,1,4,2,0,0,Not Satisfied
120,471E344d,Male,Premium,42.0,244.93,New,Entertainment,3,3,3,5,5,5,3,5,5,0,0,Satisfied
121,471N7c38,Male,Premium,47.0,43.4,New,Technology,5,3,5,2,2,2,3,2,4,0,0,Not Satisfied
122,208Q209i,Female,Premium,31.0,127.35,New,Entertainment,3,3,4,3,2,4,2,1,4,1,0,Satisfied
123,094Z340j,Male,Not Premium,,165.56,New,Home/Kitchen,2,4,4,4,4,2,4,3,4,0,0,Not Satisfied
124,566B51i5,Female,Premium,33.0,20.24,New,Sport,5,5,4,4,4,4,2,4,4,1,0,Not Satisfied
125,719L912n,Female,Premium,54.0,300.9,New,Technology,1,1,1,5,5,5,2,5,1,0,0,Satisfied
126,816B931h,Male,Premium,61.0,124.92,New,Entertainment,1,1,5,4,4,4,1,4,4,0,0,Not Satisfied
127,389Y590x,Male,Premium,29.0,31.09,New,Technology,4,2,4,3,3,5,4,5,4,0,0,Not Satisfied
128,223T769r,Female,Premium,62.0,31.3,New,Technology,4,2,2,3,4,2,3,2,2,0,1,Not Satisfied
129,671G936q,Male,Premium,59.0,84.88,New,Entertainment,2,2,2,4,4,4,5,4,4,0,0,Satisfied
130,053Y68v8,Male,Premium,,68.53,New,Technology,4,4,1,4,3,2,2,4,1,0,0,Satisfied
131,439M534c,Female,Premium,38.0,36.24,New,Entertainment,3,3,4,1,5,3,2,2,2,2,2,Not Satisfied
132,925J993w,Female,Premium,55.0,47.51,New,Entertainment,5,5,1,1,1,1,4,1,4,0,0,Not Satisfied
133,529W996y,Female,Premium,31.0,100.64,New,Technology,4,5,3,3,4,4,3,3,3,4,4,Not Satisfied
134,712M786s,Male,Premium,18.0,40.82,New,Sport,5,3,5,5,4,5,3,5,5,0,0,Not Satisfied
135,496S946s,Male,Not Premium,18.0,117.31,New,Home/Kitchen,3,4,4,4,5,3,2,4,4,0,0,Not Satisfied
136,670Z959k,Female,Premium,51.0,12.05,New,Entertainment,5,1,5,2,1,1,3,1,5,0,0,Not Satisfied
137,201K513w,Female,Premium,,48.49,New,Entertainment,4,3,3,5,3,5,4,5,3,1,1,Not Satisfied
138,972U159w,Male,Premium,52.0,127.94,New,Home/Kitchen,2,3,2,3,3,2,3,1,3,1,1,Not Satisfied
139,900D86d1,Female,Premium,37.0,12.3,New,Home/Kitchen,1,1,5,4,4,5,1,3,5,0,0,Satisfied
140,253Q985x,Female,Premium,32.0,21.18,New,Technology,5,5,3,3,3,4,1,4,3,0,0,Not Satisfied
141,080J171b,Male,Premium,23.0,153.88,New,Technology,4,1,2,3,2,5,3,5,2,0,0,Not Satisfied
142,590N700u,Male,Premium,55.0,375.59,New,Technology,2,2,1,5,5,5,5,5,5,0,0,Satisfied
143,581O123n,Male,Not Premium,22.0,126.29,New,Technology,1,3,3,4,2,4,4,4,3,0,0,Not Satisfied
144,714W462k,Female,Premium,70.0,30.68,New,Sport,4,3,1,4,5,4,5,5,1,0,0,Not Satisfied
145,993L638u,Female,Premium,31.0,148.86,New,Home/Kitchen,5,5,1,3,2,2,1,3,1,0,0,Not Satisfied
146,039C2l61,Female,Premium,38.0,354.91,New,Technology,2,2,3,5,5,5,3,5,5,0,0,Satisfied
147,504G647m,Male,Premium,,43.66,New,Technology,2,4,4,3,2,3,2,4,4,0,0,Not Satisfied
148,841C86r4,Male,Premium,54.0,52.66,New,Entertainment,4,3,2,4,1,4,1,4,4,0,0,Satisfied
149,683A631c,Male,Premium,23.0,169.38,New,Home/Kitchen,4,2,4,2,5,5,4,4,4,0,0,Satisfied
150,343A855p,Male,Premium,49.0,136.86,New,Technology,3,4,3,2,3,2,1,2,4,0,0,Not Satisfied
151,481H917b,Female,Premium,35.0,147.83,New,Sport,3,3,2,4,4,4,4,4,4,0,0,Satisfied
152,320O244v,Male,Premium,,116.26,New,Home/Kitchen,5,4,2,5,4,5,3,5,2,0,0,Not Satisfied
153,656D715s,Female,Not Premium,20.0,80.39,New,Technology,3,4,3,2,1,3,2,4,3,0,0,Not Satisfied
154,703J225f,Male,Not Premium,22.0,83.06,New,Other,3,3,5,3,2,4,3,4,5,0,0,Not Satisfied
155,172B969x,Female,Premium,43.0,58.62,New,Home/Kitchen,1,1,5,4,4,4,4,4,5,0,0,Satisfied
156,005N261d,Female,Premium,,72.63,New,Technology,3,5,5,5,2,1,3,2,5,0,0,Not Satisfied
157,131L941v,Female,Premium,58.0,47.5,New,Entertainment,1,1,3,4,4,4,3,4,3,0,0,Satisfied
158,874Y286f,Male,Premium,55.0,21.62,New,Sport,5,5,2,4,0,2,5,4,4,0,0,Not Satisfied
159,867I535k,Female,Premium,25.0,164.76,New,Technology,5,2,5,4,5,5,4,5,5,0,0,Satisfied
160,470A975i,Male,Premium,55.0,92.47,New,Technology,1,3,1,2,2,2,1,2,2,1,1,Not Satisfied
161,635H463l,Male,Premium,30.0,110.79,New,Technology,1,1,4,5,3,5,5,5,4,0,0,Satisfied
162,489Q185d,Male,Premium,21.0,224.91,New,Technology,4,4,2,3,4,4,5,4,2,0,0,Satisfied
163,563D953x,Female,Premium,68.0,225.25,New,Technology,2,3,5,1,5,4,3,3,5,0,0,Not Satisfied
164,274T106g,Male,Premium,39.0,28.69,New,Technology,3,3,5,2,4,3,3,3,5,0,0,Satisfied
165,417T759e,Male,Not Premium,23.0,40.65,New,Technology,3,3,4,4,3,3,3,3,4,0,0,Not Satisfied
166,117I298f,Female,Premium,41.0,243.9,New,Technology,1,1,4,4,4,4,3,4,3,0,0,Satisfied
167,189W713h,Female,Premium,59.0,133.89,New,Home/Kitchen,2,5,5,4,4,4,4,4,5,0,0,Satisfied
168,967R979k,Female,Premium,52.0,11.0,New,Entertainment,3,3,5,1,1,1,3,1,4,0,0,Satisfied
169,671P125g,Female,Premium,28.0,23.15,New,Technology,4,4,4,4,5,5,4,4,4,0,0,Satisfied
170,060T241w,Female,Premium,45.0,257.33,New,Technology,3,3,3,5,5,5,3,5,2,0,0,Satisfied
171,819X259n,Male,Premium,,289.07,New,Technology,5,1,5,4,2,2,1,5,5,1,1,Not Satisfied
172,269X944j,Male,Premium,32.0,35.36,New,Entertainment,4,2,2,1,1,4,4,3,2,0,0,Not Satisfied
173,684L316w,Male,Not Premium,56.0,88.31,New,Entertainment,4,3,3,3,1,4,2,3,3,0,0,Not Satisfied
174,946K470l,Male,Premium,58.0,35.51,New,Sport,1,1,1,1,1,1,4,1,2,0,0,Not Satisfied
175,074W606b,Female,Premium,31.0,220.22,New,Home/Kitchen,1,4,4,5,5,4,4,5,4,0,0,Satisfied
176,796T160e,Male,Not Premium,28.0,65.67,New,Home/Kitchen,0,5,2,5,2,2,1,4,2,0,0,Not Satisfied
177,559S100b,Male,Not Premium,24.0,93.71,New,Technology,3,4,2,1,2,4,4,4,2,0,0,Not Satisfied
178,781N573w,Female,Premium,35.0,72.29,New,Home/Kitchen,5,4,2,5,4,5,4,4,2,0,0,Not Satisfied
179,153B392i,Female,Premium,45.0,38.47,New,Other,2,2,2,3,3,2,1,3,2,0,0,Not Satisfied
180,938U121d,Female,Premium,68.0,69.04,New,Technology,5,3,4,4,5,5,5,5,4,0,0,Not Satisfied
181,225N410t,Female,Premium,51.0,86.99,New,Entertainment,5,1,1,5,5,5,4,4,1,0,0,Not Satisfied
182,137C471k,Male,Premium,46.0,54.04,New,Home/Kitchen,1,1,3,2,2,2,3,2,5,0,0,Satisfied
183,373V909e,Male,Premium,41.0,39.41,Used,Entertainment,3,2,5,5,5,5,4,5,4,0,0,Satisfied
184,969N789b,Male,Premium,35.0,328.68,New,Entertainment,5,5,2,3,3,4,3,3,3,0,0,Not Satisfied
185,172H357n,Male,Premium,20.0,170.28,New,Entertainment,5,3,1,1,3,5,4,3,1,0,0,Not Satisfied
186,022T139p,Male,Premium,42.0,175.13,New,Entertainment,4,4,3,1,2,1,4,1,4,0,0,Not Satisfied
187,248Q60i1,Male,Premium,63.0,233.43,New,Entertainment,2,4,2,1,4,1,4,1,1,0,0,Not Satisfied
188,232B799f,Male,Premium,56.0,146.56,New,Entertainment,4,4,2,2,3,2,5,2,4,0,0,Not Satisfied
189,852S616w,Female,Premium,57.0,98.16,New,Technology,1,1,3,4,4,4,4,4,4,0,0,Satisfied
190,965B81v5,Male,Premium,58.0,61.23,New,Other,4,5,3,2,1,2,3,2,1,0,0,Not Satisfied
191,410P412v,Male,Premium,30.0,134.99,New,Home/Kitchen,2,2,5,4,1,1,3,3,5,0,0,Satisfied
192,085Z459y,Female,Not Premium,29.0,156.05,New,Home/Kitchen,0,3,5,4,3,4,4,5,5,0,0,Satisfied
193,471N808t,Male,Premium,60.0,95.39,New,Other,2,3,1,4,2,4,4,4,4,0,0,Not Satisfied
194,194N863o,Male,Premium,66.0,95.8,New,Technology,4,3,5,1,3,1,3,1,5,0,0,Not Satisfied
195,132J887i,Male,Premium,48.0,80.94,New,Home/Kitchen,1,3,4,5,1,2,4,5,2,0,0,Not Satisfied
196,892J637q,Female,Premium,37.0,23.6,New,Entertainment,0,3,2,1,1,1,5,1,4,0,0,Satisfied
197,258I200g,Male,Premium,25.0,134.06,New,Technology,1,3,3,4,4,4,4,4,3,0,0,Not Satisfied
198,579K974r,Female,Premium,39.0,35.18,New,Technology,3,3,2,5,4,5,1,5,3,0,0,Satisfied
199,888I855h,Male,Not Premium,22.0,73.0,New,Technology,1,2,5,4,2,3,3,3,5,0,0,Not Satisfied
200,673Z24l8,Male,Premium,67.0,47.28,New,Sport,1,1,1,5,5,5,1,5,5,0,0,Satisfied
201,734M654t,Female,Premium,62.0,90.5,New,Entertainment,5,4,4,5,4,5,4,5,4,0,0,Not Satisfied
202,444K534t,Male,Premium,62.0,14.27,New,Technology,4,3,3,5,3,5,2,5,1,0,0,Not Satisfied
203,848D407z,Female,Premium,24.0,380.25,New,Technology,4,4,5,3,2,5,4,5,5,0,0,Satisfied
204,790O748j,Female,Premium,61.0,42.6,New,Technology,4,2,2,3,3,4,3,5,2,0,0,Not Satisfied
205,948Y564d,Male,Premium,36.0,341.32,New,Entertainment,1,1,1,2,2,2,2,2,3,0,0,Not Satisfied
206,583P652k,Female,Premium,58.0,184.24,Used,Home/Kitchen,3,3,3,4,4,4,3,4,5,0,0,Satisfied
207,329V843y,Male,Premium,66.0,31.79,New,Technology,3,3,4,5,3,5,4,5,3,0,0,Not Satisfied
208,766Y202m,Female,Premium,48.0,322.64,New,Entertainment,5,5,3,4,5,4,3,4,5,0,0,Satisfied
209,194D570s,Male,Premium,33.0,20.74,New,Technology,1,1,1,1,5,3,4,3,1,0,0,Not Satisfied
210,431L100o,Female,Premium,36.0,2.99,New,Technology,3,1,3,3,5,4,4,1,3,0,0,Not Satisfied
211,693J872m,Male,Premium,21.0,228.58,New,Technology,5,3,1,4,1,3,3,3,1,0,0,Satisfied
212,445V981u,Female,Premium,38.0,136.95,New,Entertainment,1,1,4,5,5,5,4,5,3,0,0,Satisfied
213,507K764d,Male,Premium,,14.3,New,Technology,3,3,5,1,1,1,5,5,5,0,0,Satisfied
214,042W86r2,Female,Premium,45.0,21.66,New,Technology,0,3,3,4,0,2,2,4,3,0,0,Not Satisfied
215,539P394j,Female,Not Premium,25.0,31.44,Used,Entertainment,1,3,2,1,2,2,4,3,2,0,0,Not Satisfied
216,799Z669u,Female,Premium,46.0,80.41,New,Technology,2,2,1,4,2,3,4,3,1,0,0,Not Satisfied
217,928V889z,Male,Premium,33.0,90.45,New,Technology,5,5,5,1,3,1,4,1,5,0,0,Satisfied
218,436I996i,Female,Premium,62.0,134.5,New,Sport,2,2,5,3,3,3,3,3,1,0,0,Not Satisfied
219,388J242t,Female,Premium,36.0,390.64,New,Technology,5,5,4,4,3,2,4,1,4,2,1,Not Satisfied
220,303O720w,Female,Premium,,102.84,Used,Entertainment,3,3,3,2,3,4,1,3,3,0,0,Not Satisfied
221,575I302i,Male,Premium,24.0,18.94,New,Entertainment,2,2,3,2,4,4,3,2,3,1,1,Not Satisfied
222,627U55v2,Female,Premium,49.0,33.92,New,Technology,5,5,2,4,4,4,5,4,3,0,0,Satisfied
223,083V863a,Male,Premium,52.0,104.35,New,Technology,5,5,1,3,3,3,2,3,4,0,0,Not Satisfied
224,849S187g,Female,Not Premium,22.0,41.3,Used,Entertainment,1,4,3,2,1,4,2,3,3,0,0,Not Satisfied
225,946N723g,Male,Not Premium,27.0,152.21,New,Other,5,2,5,5,3,4,3,4,5,0,0,Satisfied
226,520K479z,Male,Premium,32.0,189.91,New,Entertainment,2,2,5,4,4,5,3,4,5,0,0,Satisfied
227,344R52b4,Female,Premium,67.0,114.48,New,Technology,3,4,4,3,4,4,2,3,4,0,0,Not Satisfied
228,763H609z,Male,Premium,,95.92,New,Home/Kitchen,5,2,4,4,2,5,5,5,4,0,0,Not Satisfied
229,878C135v,Male,Premium,47.0,352.08,New,Entertainment,1,1,5,5,5,5,3,5,3,0,0,Satisfied
230,433U956y,Male,Premium,21.0,110.61,New,Sport,4,3,5,4,5,3,4,4,5,0,0,Not Satisfied
231,834U590e,Female,Premium,53.0,61.22,New,Entertainment,2,2,3,5,5,5,4,5,5,0,0,Satisfied
232,352G994z,Male,Premium,25.0,212.05,New,Technology,3,3,4,5,5,4,3,5,4,0,0,Satisfied
